[2018-02-23 00:11:23,588][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:24,589][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:25,590][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:26,591][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:27,592][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:28,592][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:29,593][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:30,594][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:31,595][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:32,595][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:33,596][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:34,598][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:35,599][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:36,600][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:37,601][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:38,602][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:39,603][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:40,604][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:41,604][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:42,605][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:43,605][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:44,607][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:45,608][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:46,610][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:47,611][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:48,612][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:49,613][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:50,613][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:51,614][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:52,616][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:53,617][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:54,618][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:55,619][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:56,620][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:57,621][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:58,621][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:11:59,622][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:00,622][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:01,623][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:02,624][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:03,626][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:04,626][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:05,627][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:06,628][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:07,629][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:08,630][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:09,631][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:10,631][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:11,632][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:12,633][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:13,634][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:14,634][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:15,636][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:16,637][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:17,637][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:18,638][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:19,638][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:20,639][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 00:12:21,640][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=17, peakCount=19, totalStartedThreadCount=22, daemonCount=15}
[2018-02-23 01:22:33,483][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=18, peakCount=18, totalStartedThreadCount=20, daemonCount=16}
[2018-02-23 01:22:34,516][onyxia-THREAD-1][INFO][onyxia-thread-logger:34] ThreadInfoEntity{activityCount=19, peakCount=19, totalStartedThreadCount=22, daemonCount=17}
